team_name,season_year,sos_adj_factor,sos_z
Purdue,2021,0.17973057478728718,1.7973057478728718
Rhode Island,2021,0.10482405265674039,1.0482405265674037
Incarnate Word,2021,0.0,-1.2974638147488915
James Madison,2021,0.0,-0.7294706569368925
North Carolina Central,2021,0.0,-1.203495069998677
New Hampshire,2021,0.0,-1.1753427900217264
Oral Roberts,2021,0.0,-0.1741578409411285
Stanford,2021,0.1656324633776888,1.656324633776888
College of Charleston,2021,0.0,-0.5779761927185959
Marquette,2021,0.1534082099705446,1.534082099705446
Stetson,2021,0.0,-0.8042948614907778
Bowling Green,2021,0.0007135346613334766,0.007135346613334766
Louisiana Tech,2021,0.01057449295322231,0.10574492953222309
Iowa State,2021,0.1681805756225137,1.681805756225137
North Texas,2021,0.04012682548966236,0.40126825489662354
Marist,2021,0.0,-1.2241696898587182
Drexel,2021,0.0,-0.41836086265249006
Texas A&M-Corpus Christi,2021,0.0,-0.9889389561884281
Sam Houston,2021,0.0,-0.913003051184383
Florida,2021,0.1633115580659325,1.633115580659325
Southern Utah,2021,0.0,-1.2006975224404972
Syracuse,2021,0.14727231064952656,1.4727231064952655
Villanova,2021,0.16527703084047202,1.65277030840472
Fordham,2021,0.0696345530043259,0.6963455300432589
Hofstra,2021,0.0,-0.26301825456814404
Virginia Military Institute,2021,0.0,-0.2521643481659685
San Diego State,2021,0.0650673822939356,0.650673822939356
Howard,2021,0.0,-0.7388095067996836
Utah State,2021,0.03905630038776244,0.3905630038776244
Clemson,2021,0.16352621151140212,1.635262115114021
Chicago State,2021,0.05598469087468841,0.559846908746884
Cal State Fullerton,2021,0.0,-0.510006151601984
South Carolina Upstate,2021,0.0,-0.6253327202737073
New Orleans,2021,0.0,-1.3129489679108868
LSU,2021,0.14786411759744988,1.4786411759744988
UNLV,2021,0.02152189323483005,0.2152189323483005
Saint Francis NY,2021,0.0,-1.3144619559629853
Furman,2021,0.0,-0.3785606410847609
Maryland,2021,0.16144564758745525,1.6144564758745523
Citadel,2021,0.0,-0.4768757958726891
Morgan State,2021,0.0,-1.431282775776325
Morehead State,2021,0.0,-0.4848543514976904
Tennessee-Martin,2021,0.0,-0.6366448589892305
Navy,2021,0.0,-0.6943208719579902
Houston Christian,2021,0.0,-0.6909068088230945
DePaul,2021,0.15907400447035439,1.5907400447035438
Georgia Southern,2021,0.0,-1.1635089746387461
Kentucky,2021,0.19265258750578787,1.9265258750578786
Louisville,2021,0.15494648928166144,1.5494648928166144
Lipscomb,2021,0.0,-1.074505065812788
Tennessee Tech,2021,0.0,-0.18667012527523064
Central Arkansas,2021,0.0,-0.20683450331752037
Bucknell,2021,0.0,-0.9086949977540341
Missouri-Kansas City,2021,0.0,-0.6086800134884288
SMU,2021,0.07730756190142588,0.7730756190142587
Gardner-Webb,2021,0.0,-0.670298335790552
Saint Peter`s,2021,0.0,-0.9724670555173879
Arkansas State,2021,0.0,-0.9957326620861198
Tennessee State,2021,0.0,-0.78854295170125
Missouri,2021,0.17654451006914418,1.7654451006914418
Manhattan,2021,0.0,-1.0613510167055393
San Jose State,2021,0.01836413072024887,0.1836413072024887
Hartford,2021,0.0,-0.8075834560561438
Florida Gulf Coast,2021,0.0,-1.2759673459064393
Murray State,2021,0.0,-1.0325924957985049
Oklahoma State,2021,0.1573531422024205,1.573531422024205
Albany,2021,0.0,-0.9429469225396908
Wyoming,2021,0.003128720740608371,0.031287207406083706
Rice,2021,0.0,-0.24670606989676933
Butler,2021,0.1758541534848883,1.758541534848883
Wofford,2021,0.0,-0.0908512318056279
Miami (Fla.),2021,0.1297846521750283,1.297846521750283
Western Illinois,2021,0.0,-0.5070319301004086
Nebraska,2021,0.17049421339189022,1.7049421339189021
Saint Joseph`s,2021,0.1129343185318116,1.129343185318116
Alcorn State,2021,0.0,-0.8997876086684915
Alabama State,2021,0.0,-1.9130832753465659
Grambling,2021,0.0,-1.3438071643498035
UNC Wilmington,2021,0.0,-0.8882333292533282
Wake Forest,2021,0.1311909734010249,1.311909734010249
William & Mary,2021,0.0,-0.26263505735644355
Appalachian State,2021,0.0,-0.9533770730798642
Alabama,2021,0.17412499532349024,1.7412499532349022
Vanderbilt,2021,0.1304707833059203,1.3047078330592028
Portland,2021,0.03756247424432622,0.37562474244326216
South Alabama,2021,0.0,-1.0305894468451289
Auburn,2021,0.14730755148399974,1.4730755148399972
Sacred Heart,2021,0.0,-1.0996011527986391
Charleston Southern,2021,0.0,-0.7621235494811918
Troy,2021,0.0,-0.7064682795235266
Texas A&M,2021,0.08886257511469808,0.8886257511469807
Tarleton State,2021,0.0,-0.8607684590078856
Notre Dame,2021,0.16086326649782204,1.6086326649782203
Quinnipiac,2021,0.0,-1.066165012185767
Penn State,2021,0.2,2.1306271276086255
UNC Asheville,2021,0.0,-0.8153702379224428
Delaware State,2021,0.0,-0.9151380729792424
North Dakota,2021,0.0,-0.21271575783028954
Charlotte,2021,0.0,-0.13395589477774714
McNeese State,2021,0.0,-1.8685106619875695
Massachusetts,2021,0.023718618257967512,0.2371861825796751
Cincinnati,2021,0.11848111235361561,1.184811123536156
Duke,2021,0.1425330450302688,1.425330450302688
Western Kentucky,2021,0.03132929378731854,0.31329293787318535
Oakland,2021,0.0,-0.04398424123336936
Utah Tech,2021,0.0,-0.6347144948783366
Southeast Missouri State,2021,0.0,-0.7906576016664254
Miami (Ohio),2021,0.0,-0.06066295308739839
North Florida,2021,0.0,-0.688921293857504
Fresno State,2021,0.012358082858363874,0.12358082858363874
Texas Christian,2021,0.11925299705887189,1.192529970588719
Tulane,2021,0.06069866308869353,0.6069866308869353
Bryant,2021,0.0,-1.214973920643191
North Carolina,2021,0.16288693573172042,1.628869357317204
Fairfield,2021,0.0,-0.8322814057072107
George Washington,2021,0.0,-0.0897818382940417
Saint Mary`s,2021,0.10701908776396274,1.0701908776396274
Virginia Tech,2021,0.10807718082006493,1.0807718082006492
Washington State,2021,0.11271876306749654,1.1271876306749653
Wisconsin,2021,0.17857576429241404,1.7857576429241402
Temple,2021,0.07852748101697334,0.7852748101697333
Presbyterian,2021,0.0,-1.1410701102889447
Georgia,2021,0.10994552547617852,1.099455254761785
Belmont,2021,0.0,-1.0398291590831974
Pittsburgh,2021,0.1223869473161624,1.223869473161624
Chattanooga,2021,0.0,-0.45783740729295225
Southern Illinois,2021,0.013413703611669187,0.13413703611669187
Colorado State,2021,0.04226763638388966,0.42267636383889656
South Florida,2021,0.08547654167723825,0.8547654167723825
Utah,2021,0.14992645431979243,1.4992645431979243
South Carolina,2021,0.17056417315578315,1.7056417315578314
Monmouth,2021,0.0,-0.9654287926538174
High Point,2021,0.0,-0.8050372864584018
North Carolina A&T,2021,0.0,-1.0857416383414351
Southern,2021,0.0,-1.422077791925129
Elon,2021,0.0,-0.538324445709782
Abilene Christian,2021,0.0,-1.090510888962721
San Francisco,2021,0.07422565054024503,0.7422565054024503
Norfolk State,2021,0.0,-1.1506724693629262
Boston College,2021,0.1567371448949183,1.5673714489491828
Baylor,2021,0.12042891918805212,1.2042891918805212
Fairleigh Dickinson,2021,0.0,-0.8922933292772444
UC Davis,2021,0.0,-0.6476373177023058
Idaho,2021,0.0,-0.3286128986320703
Marshall,2021,0.0,-0.0022657777471710473
Youngstown State,2021,0.0,-1.182187776584669
Lehigh,2021,0.0,-0.8443489189888794
Campbell,2021,0.0,-0.9866618255038258
Illinois-Chicago,2021,0.0,-0.7217722622282807
UCLA,2021,0.1823404754549537,1.8234047545495369
Illinois State,2021,0.02150233475797722,0.21502334757977218
Valparaiso,2021,0.02046008799769146,0.2046008799769146
Minnesota,2021,0.17254968344455532,1.725496834445553
Iona,2021,0.0,-0.8119661407598505
Florida State,2021,0.15044801334853886,1.5044801334853886
Houston,2021,0.08088975896791847,0.8088975896791847
Milwaukee,2021,0.0,-0.6011614152672172
Fort Wayne,2021,0.0,-0.8839454424248695
Merrimack,2021,0.0,-1.3129104185133744
Coastal Carolina,2021,0.0,-1.2248469054184332
New Mexico,2021,0.0,-0.0546543140130827
Xavier,2021,0.12008568850335871,1.200856885033587
Michigan,2021,0.1789080289211852,1.789080289211852
Jacksonville State,2021,0.0,-0.7049345614826305
Santa Clara,2021,0.02902951336573058,0.2902951336573058
Long Island,2021,0.0,-1.3083653887723845
Texas State,2021,0.0,-1.198402409457644
Oregon,2021,0.1600536218141651,1.600536218141651
Louisiana,2021,0.0,-0.8731886295821517
Massachusetts-Lowell,2021,0.0,-0.537269259358107
Georgia State,2021,0.0,-0.8061447704811261
Texas Tech,2021,0.11410357785960712,1.1410357785960712
Virginia,2021,0.12976544890692318,1.2976544890692316
Tennessee,2021,0.1393236714360345,1.393236714360345
Maine,2021,0.0,-0.5768004821271125
Richmond,2021,0.08578257672845574,0.8578257672845574
Indiana State,2021,0.03458234699444503,0.3458234699444503
Eastern Kentucky,2021,0.0,-1.0131178755916854
Ball State,2021,0.02576141632607433,0.25761416326074327
Kennesaw State,2021,0.0,-0.7297914353470306
Colgate,2021,0.0,-0.7136407967385658
Loyola Maryland,2021,0.0,-0.646877349799859
Akron,2021,0.0,-0.02160781381576109
Western Michigan,2021,0.01165153391517177,0.11651533915171769
Mercer,2021,0.0,-0.3044987400540217
Northern Illinois,2021,0.00906543685627599,0.09065436856275991
Ohio,2021,0.02205475466454262,0.2205475466454262
Austin Peay,2021,0.0,-1.0843198392520694
Weber State,2021,0.0,-0.9742493629607244
Florida A&M,2021,0.0,-1.010097804588044
Omaha,2021,0.0,-0.021372069549815468
Grand Canyon,2021,0.0,-0.5511420096095182
Eastern Michigan,2021,0.0,-0.19823886910405653
Northern Kentucky,2021,0.0,-0.6639236006748733
South Dakota,2021,0.0,-0.43886934174391745
Pacific,2021,0.07221259802153941,0.7221259802153941
UC Santa Barbara,2021,0.0,-0.35546132028594973
Bradley,2021,0.019072401722539427,0.19072401722539425
IUPUI,2021,0.0,-0.7113779698965038
Southern Mississippi,2021,0.0,-0.27310072265062374
BYU,2021,0.1032057682069118,1.0320576820691179
Sacramento State,2021,0.0,-0.5470839415433487
Pepperdine,2021,0.06077927404535878,0.6077927404535878
UC Irvine,2021,0.0,-0.14043066715394256
Wright State,2021,0.0,-0.833056091020056
Eastern Washington,2021,0.0,-0.46926187693393834
Ohio State,2021,0.18205135435790532,1.8205135435790532
Green Bay,2021,0.0,-0.4394227021881872
Vermont,2021,0.0,-1.239047140005467
Northeastern,2021,0.027474664694324327,0.27474664694324324
Boston University,2021,0.0,-0.25574183573539083
Kent State,2021,0.00986573310351136,0.09865733103511361
Nicholls State,2021,0.0,-1.143114167903896
Arizona,2021,0.1335967624289763,1.335967624289763
California Baptist,2021,0.0,-0.9865472753013697
Alabama A&M,2021,0.0,-1.6871173432408733
USC,2021,0.17385378427337786,1.7385378427337785
Idaho State,2021,0.0,-1.1476924635765886
Gonzaga,2021,0.10678798612822422,1.0678798612822422
West Virginia,2021,0.16674549568567687,1.6674549568567687
Buffalo,2021,0.004599941174798142,0.04599941174798142
UNC Greensboro,2021,0.0,-0.08260086583905132
George Mason,2021,0.007208903641804507,0.07208903641804507
SIU Edwardsville,2021,0.0,-0.6049476540184701
Connecticut,2021,0.15320033328937643,1.5320033328937643
Cal State Northridge,2021,0.0,-0.2664016114227433
Boise State,2021,0.04224225943864478,0.42242259438644775
Robert Morris,2021,0.0,-0.6010754699822565
Georgia Tech,2021,0.13931580455270115,1.3931580455270114
Cal State Bakersfield,2021,0.0,-0.3324247137579341
San Diego,2021,0.10237879044917325,1.0237879044917324
Texas Southern,2021,0.0,-0.9632957544066791
Rutgers,2021,0.1869063134849791,1.869063134849791
Northern Arizona,2021,0.0,-0.0995244860282074
Detroit,2021,0.0,-0.5246749687248237
Creighton,2021,0.1528045948580498,1.528045948580498
Mount Saint Mary`s,2021,0.0,-0.9611433547847924
Iowa,2021,0.15553232742353065,1.5553232742353065
Radford,2021,0.0,-0.8908818291028243
Montana,2021,0.0,-0.5906362912714889
Tulsa,2021,0.05810375807369825,0.5810375807369824
Jackson State,2021,0.0,-1.3007833166028158
Arizona State,2021,0.16420911617922576,1.6420911617922576
La Salle,2021,0.05583912700884835,0.5583912700884834
Oklahoma,2021,0.1393994971739426,1.393994971739426
East Carolina,2021,0.03782837018179978,0.37828370181799775
Prairie View,2021,0.0,-1.53673716488277
Maryland-Baltimore County,2021,0.0,-0.8797976392770119
Western Carolina,2021,0.0,-0.3068142784287164
Air Force,2021,0.038714026118764316,0.38714026118764316
Central Connecticut,2021,0.0,-0.9478753156520059
Toledo,2021,0.01112608925018591,0.1112608925018591
VCU,2021,0.09075790004297635,0.9075790004297634
Eastern Illinois,2021,0.0,-0.6235304168807524
Northern Colorado,2021,0.0,-0.8651280446874934
Loyola Chicago,2021,0.021802276048566528,0.21802276048566527
Northwestern,2021,0.1623766562037103,1.623766562037103
Providence,2021,0.15437001446349374,1.5437001446349374
Wagner,2021,0.0,-1.2055648835807111
Evansville,2021,0.019467521940203028,0.19467521940203028
Louisiana-Monroe,2021,0.0,-0.7468648272540902
Florida Atlantic,2021,0.0,-0.936723217627045
Washington,2021,0.1877515664044795,1.8775156640447948
Arkansas-Little Rock,2021,0.0,-0.6690300501276499
Wichita State,2021,0.07146502986004215,0.7146502986004215
Texas-Arlington,2021,0.0,-0.8522663380023757
Texas-Rio Grande Valley,2021,0.0,-1.0413958387844668
Old Dominion,2021,0.0,-0.01592830123272796
UAB,2021,0.0,-0.5710163954462292
Arkansas,2021,0.12579641993040477,1.2579641993040476
Duquesne,2021,0.05238383684451328,0.5238383684451328
Delaware,2021,0.0,-0.8641466686757149
Northern Iowa,2021,0.030245254474646946,0.30245254474646943
North Alabama,2021,0.0,-1.2059874484517419
Samford,2021,0.0,-0.2522295495120667
UTSA,2021,0.0,-0.2971883661143652
Binghamton,2021,0.0,-0.8464902168704482
Georgetown,2021,0.1719576635744679,1.719576635744679
Lamar,2021,0.0,-0.7883099394568849
Utah Valley,2021,0.0,-0.2888284997324082
UTEP,2021,0.0,-0.029741306001046408
Drake,2021,0.0,-0.004975777355491792
Bellarmine,2021,0.0,-0.9770126323360947
Portland State,2021,0.0,-1.0581023208455134
Oregon State,2021,0.15568414004497064,1.5568414004497062
American,2021,0.0,-0.2527260621632114
North Dakota State,2021,0.0,-0.14736988730833137
Long Beach State,2021,0.0,-0.2617888041326431
Nevada,2021,0.05006102212950669,0.5006102212950668
Stephen F. Austin,2021,0.0,-1.3715184267628875
Hampton,2021,0.0,-1.2372932085532833
Northwestern State,2021,0.0,-0.6912463385675094
Cleveland State,2021,0.0,-0.3652228190706045
Kansas,2021,0.14464420048606752,1.4464420048606752
Louisiana-Lafayette,2021,0.0,-1.1402577863085148
Missouri State,2021,0.0,-0.11803096890735165
Mississippi,2021,0.11116493182184613,1.1116493182184612
Colorado,2021,0.1618876526551724,1.618876526551724
Davidson,2021,0.05677874005143377,0.5677874005143376
Siena,2021,0.0,-1.177852032510131
South Dakota State,2021,0.0,-0.20760679327925366
UCF,2021,0.12574154938955917,1.2574154938955917
Towson,2021,0.0,-0.16298032565177692
Stony Brook,2021,0.0,-0.8047590246506897
Memphis,2021,0.08353538493903981,0.835353849390398
Rider,2021,0.0,-0.7197395747587173
Hawaii,2021,0.0,-0.516264872594394
Montana State,2021,0.0,-0.6782429078637913
Jacksonville,2021,0.0,-0.9722105581434975
New Mexico State,2021,0.0,-0.8633589356868556
Seattle,2021,0.0,-0.7604613246189869
Holy Cross,2021,0.0,-0.32640986194711163
Michigan State,2021,0.1778682571939875,1.778682571939875
Saint Bonaventure,2021,0.09222631008346263,0.9222631008346263
Liberty,2021,0.0,-1.0739124202325212
UC Riverside,2021,0.0,-0.28196189753598855
Fordham,2022,0.011759361472864334,0.11759361472864334
Notre Dame,2022,0.13360102550938813,1.3360102550938813
Cincinnati,2022,0.06343948725728361,0.6343948725728361
Missouri-Kansas City,2022,0.0,-1.056887722348559
Central Michigan,2022,0.0,-0.06001763862417694
Northern Arizona,2022,0.0,-0.9574020120012431
Virginia,2022,0.13501054489793055,1.3501054489793054
Yale,2022,0.0,-0.22599947519625724
UTSA,2022,0.0,-0.5305615258310208
Oakland,2022,0.0,-0.6294825913046915
IUPUI,2022,0.0,-1.1943805735830664
Eastern Michigan,2022,0.0,-0.47286471868730984
Hartford,2022,0.0,-1.185899082660436
Northwestern,2022,0.12491950376594706,1.2491950376594705
High Point,2022,0.0,-0.675365147844937
Gardner-Webb,2022,0.0,-0.8347081005335083
Campbell,2022,0.0,-1.0657094258354476
Harvard,2022,0.0,-0.9244605264892061
Massachusetts-Lowell,2022,0.0,-1.2619840219143068
Cornell,2022,0.0,-0.6379039409140562
SIU Edwardsville,2022,0.0,-0.6439301023474079
Morehead State,2022,0.0,-0.5427130030452517
Southern Utah,2022,0.0,-0.8251660376085226
Penn State,2022,0.17616821394292212,1.761682139429221
Cleveland State,2022,0.0,-1.0642355951998146
UCF,2022,0.09150238841466983,0.9150238841466982
Duquesne,2022,0.05284543661254461,0.528454366125446
Auburn,2022,0.16209391146304034,1.6209391146304033
Jacksonville,2022,0.0,-1.0065822916309455
Chattanooga,2022,0.009082719972368591,0.09082719972368591
Norfolk State,2022,0.0,-1.6422690720843105
Colorado,2022,0.10008889138251736,1.0008889138251735
Florida International,2022,0.0,-0.6774028421753716
Temple,2022,0.09480882574572264,0.9480882574572264
Appalachian State,2022,0.0,-0.2488814563988224
Charleston Southern,2022,0.0,-0.7401875119065566
Alcorn State,2022,0.0,-0.4565530897278368
Coppin State,2022,0.0,-0.5395874772824666
Howard,2022,0.0,-1.5318969595371075
Creighton,2022,0.16119663429921172,1.611966342992117
Missouri,2022,0.1550608771389194,1.5506087713891938
Delaware State,2022,0.0,-1.3395638338818985
Presbyterian,2022,0.0,-0.5713984574853971
Utah State,2022,0.08194347528761095,0.8194347528761095
Virginia Tech,2022,0.1467360821237098,1.467360821237098
Texas-Rio Grande Valley,2022,0.0,-0.24589737957697413
South Carolina State,2022,0.0,-1.5236752676269214
